연도,시도,전체 생존,전체 생존율,전체 표준화 생존률,질병 생존,질병 생존율,질병 표준화 생존률,질병외 생존,질병외 생존율,질병외 표준화 생존률,전체 뇌기능 회복,전체 뇌기능 회복률,전체 표준화 뇌기능 회복률,질병 뇌기능 회복,질병 뇌기능 회복률,질병 표준화 뇌기능 회복률,질병외 뇌기능 회복,질병외 뇌기능 회복률,질병외 표준화 뇌기능 회복률,전체 발생,전체 발생률,전체 표준화 발생률,질병 발생,질병 발생률,질병 표준화 발생률,질병외 발생,질병외 발생률,질병외 표준화 발생률,종합병원,일반병원,병원 합계
2016,세종,14,11.9,9.3,11,13.9,13.6,3.0,7.9,6.0,11,9.3,7.6,9,11.4,11.2,2.0,5.3,4.4,118,52.2,45.1,79,35.0,29.1,38,16.8,15.6,0,1,1
2016,부산,174,9.1,10.1,145,9.8,13.2,26.0,6.3,5.8,101,5.3,6.0,93,6.3,9.2,5.0,1.2,1.1,1947,56.2,38.5,1475,42.5,27.5,414,11.9,9.8,29,139,168
2016,대전,59,8.4,9.3,52,10.0,11.7,7.0,4.0,4.0,28,4.0,4.3,27,5.2,6.6,1.0,0.6,0.5,707,47.0,36.5,521,34.6,26.2,175,11.6,9.9,10,40,50
2016,경북,92,4.3,4.8,84,5.4,7.3,8.0,1.4,1.4,57,2.7,3.0,56,3.6,5.2,1.0,0.2,0.3,2241,83.5,49.3,1542,57.5,30.7,577,21.5,16.0,18,83,101
2016,인천,125,8.2,8.9,110,9.6,11.6,15.0,4.0,4.5,69,4.5,5.1,68,6.0,7.7,1.0,0.3,0.4,1551,53.4,42.6,1142,39.3,30.6,371,12.8,10.9,18,58,76
2016,광주,58,9.2,10.1,50,10.3,13.3,8.0,5.6,5.0,30,4.8,5.2,29,6.0,8.3,1.0,0.7,0.7,640,43.8,35.1,484,33.1,25.4,142,9.7,8.9,22,75,97
2016,충남,90,6.1,7.0,66,6.4,7.9,24.0,5.7,5.8,42,2.9,3.6,34,3.3,4.8,8.0,1.9,2.1,1509,72.8,46.4,1034,49.9,29.3,420,20.3,15.4,13,49,62
2016,경기,491,8.2,9.0,423,9.2,12.3,68.0,5.0,5.2,276,4.6,5.3,264,5.8,8.3,12.0,0.9,0.7,6226,49.8,40.0,4588,36.7,28.7,1357,10.8,9.5,61,288,349
2016,서울,512,11.4,12.9,445,12.4,16.4,66.0,7.5,7.8,271,6.0,7.1,262,7.3,10.6,8.0,0.9,1.0,4569,46.6,35.0,3588,36.6,26.5,884,9.0,7.7,56,221,277
2016,충북,67,5.3,6.1,59,6.7,10.2,8.0,2.1,2.6,39,3.1,3.6,37,4.2,6.2,2.0,0.5,0.4,1289,81.7,54.5,880,55.8,33.8,379,24.0,19.5,12,41,53
2016,강원,85,6.1,7.8,61,6.0,10.6,24.0,6.4,6.9,35,2.5,3.6,31,3.0,5.5,4.0,1.1,1.5,1549,100.8,61.4,1017,66.2,36.1,375,24.4,19.4,15,48,63
2016,제주,39,6.2,7.6,29,6.3,9.7,10.0,6.3,6.9,23,3.7,4.7,18,3.9,6.2,5.0,3.1,3.2,632,100.6,66.5,463,73.7,43.2,160,25.5,22.2,6,8,14
2016,울산,55,10.9,10.9,45,12.7,14.2,10.0,7.3,7.8,31,6.2,6.1,29,8.2,8.4,2.0,1.5,1.0,511,43.8,39.2,354,30.4,27.1,137,11.7,10.6,7,40,47
