연도,시도,전체 뇌기능 회복,전체 뇌기능 회복률,전체 표준화 뇌기능 회복률,질병 뇌기능 회복,질병 뇌기능 회복률,질병 표준화 뇌기능 회복률,질병외 뇌기능 회복,질병외 뇌기능 회복률,질병외 표준화 뇌기능 회복률
2016,제주,23,3.7,4.7,18,3.9,6.2,5.0,3.1,3.2
2016,부산,101,5.3,6.0,93,6.3,9.2,5.0,1.2,1.1
2016,전북,45,3.3,4.0,44,4.5,6.4,1.0,0.3,0.2
2016,전남,30,2.0,2.6,29,2.7,5.1,1.0,0.2,0.3
2016,대전,28,4.0,4.3,27,5.2,6.6,1.0,0.6,0.5
2016,인천,69,4.5,5.1,68,6.0,7.7,1.0,0.3,0.4
2016,세종,11,9.3,7.6,9,11.4,11.2,2.0,5.3,4.4
2016,강원,35,2.5,3.6,31,3.0,5.5,4.0,1.1,1.5
2016,충북,39,3.1,3.6,37,4.2,6.2,2.0,0.5,0.4
2016,경북,57,2.7,3.0,56,3.6,5.2,1.0,0.2,0.3
2016,광주,30,4.8,5.2,29,6.0,8.3,1.0,0.7,0.7
2016,울산,31,6.2,6.1,29,8.2,8.4,2.0,1.5,1.0
2016,충남,42,2.9,3.6,34,3.3,4.8,8.0,1.9,2.1
2016,경남,61,3.1,3.7,56,3.9,5.9,4.0,0.8,1.0
2016,대구,71,5.4,6.2,67,6.6,8.8,4.0,1.4,1.8
2016,서울,271,6.0,7.1,262,7.3,10.6,8.0,0.9,1.0
2016,경기,276,4.6,5.3,264,5.8,8.3,12.0,0.9,0.7
2017,충북,44,3.6,4.4,39,4.5,6.7,5.0,1.5,1.3
2017,부산,103,5.6,6.1,98,6.8,8.8,5.0,1.2,0.9
2017,경기,339,5.8,6.7,316,7.1,9.6,23.0,1.7,1.4
2017,강원,45,3.2,4.0,41,4.1,6.9,4.0,1.1,1.0
2017,울산,43,8.6,8.8,37,9.8,11.7,6.0,5.0,3.7
2017,광주,40,6.4,6.6,38,8.5,9.9,2.0,1.2,1.3
2017,서울,320,7.1,8.3,304,8.4,11.5,15.0,1.8,1.7
2017,세종,7,6.3,6.1,6,7.9,8.7,1.0,3.4,2.3
2017,전북,64,4.8,5.5,61,6.5,8.7,3.0,0.8,0.8
2017,대구,68,5.3,6.6,65,6.3,9.0,3.0,1.2,1.7
2017,인천,82,5.6,6.8,77,6.8,10.0,5.0,1.6,1.6
2017,전남,52,3.3,4.2,46,4.1,6.3,6.0,1.4,1.4
2017,경북,58,2.7,3.6,48,3.1,5.4,9.0,1.6,1.7
2017,대전,28,4.3,4.7,26,5.4,7.0,2.0,1.2,1.1
2017,충남,63,4.0,5.0,58,5.3,7.3,5.0,1.1,1.1
2017,경남,87,4.4,4.7,84,5.8,7.2,2.0,0.4,0.4
2017,제주,22,3.5,4.8,21,4.2,8.1,1.0,0.8,0.4
2018,강원,58,4.1,5.5,53,5.2,8.3,5.0,1.4,1.0
2018,광주,34,6.0,6.8,32,7.6,13.5,2.0,1.4,1.4
2018,경북,60,2.7,3.5,57,3.7,6.4,3.0,0.5,0.4
2018,대전,43,6.0,7.1,42,7.8,11.9,1.0,0.6,0.5
2018,서울,349,7.5,9.2,340,9.0,12.9,8.0,0.9,0.9
2018,부산,90,4.7,5.8,86,5.9,9.7,4.0,1.0,0.8
2018,울산,36,6.3,6.1,36,8.7,9.2,0.0,0.0,0.0
2018,경남,100,4.5,5.4,96,6.0,9.4,4.0,0.7,0.6
2018,세종,11,8.0,7.5,9,10.5,11.5,2.0,4.1,2.0
2018,충북,52,4.1,5.0,43,4.8,8.7,9.0,2.6,2.5
2018,대구,65,4.9,5.6,61,5.7,8.5,4.0,1.5,1.5
2018,전남,59,3.8,4.7,53,4.8,8.0,6.0,1.4,1.4
2018,경기,348,5.4,6.4,332,6.6,9.8,16.0,1.1,1.2
2018,충남,67,3.9,4.9,54,4.6,6.6,12.0,2.3,2.5
2018,전북,46,3.6,4.2,44,4.9,6.6,2.0,0.5,0.4
2018,제주,25,3.8,5.1,23,4.5,7.0,1.0,0.7,0.7
2018,인천,82,5.3,6.1,77,6.6,9.3,5.0,1.3,1.0
2019,전남,51,3.1,4.3,44,3.7,6.3,,,
2019,제주,46,7.4,10.2,41,8.4,12.5,,,
2019,대구,72,5.6,7.1,70,6.9,11.3,,,
2019,세종,10,9.6,8.6,10,13.3,11.2,,,
2019,경기,397,5.8,6.8,377,7.2,10.2,17.0,1.1,1.1
2019,인천,93,6.0,7.3,90,7.5,10.9,,,
2019,광주,42,6.5,7.3,41,8.5,11.9,,,
2019,충남,62,3.6,4.9,53,4.3,9.0,,,
2019,전북,59,4.3,5.2,56,5.7,9.4,,,
2019,경북,77,3.6,4.7,72,4.4,6.8,,,
2019,울산,30,4.8,5.4,30,6.4,8.4,,,
2019,부산,118,5.9,6.4,116,7.3,9.1,,,
2019,강원,68,4.9,6.2,62,6.1,11.1,,,
2019,충북,62,4.6,5.8,59,5.9,9.2,,,
2019,대전,57,7.7,9.3,55,9.8,14.5,,,
2019,경남,77,4.0,4.8,71,5.0,7.4,,,
2019,서울,314,7.1,8.7,288,8.2,11.6,12.0,1.5,1.4
